,Age Group,Age,Education,Marital_Status,Income Group,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Children,Month,Year,TotalPurchases,TotalProducts,AtLeast1Cmp
0,Middle Aged,57,Graduation,Single,Upper Middle,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,9,2012,22,1617,0
1,Old Adult,60,Graduation,Single,Lower Middle,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,2,3,2014,4,27,0
2,Middle Aged,49,Graduation,Together,High Income,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,8,2013,20,776,0
3,Young Adult,30,Graduation,Together,Low Income,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,1,2,2014,6,53,0
4,Young Adult,33,PhD,Married,Upper Middle,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,1,1,2014,14,422,0
5,Middle Aged,47,Master,Together,Upper Middle,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,1,9,2013,20,716,0
6,Middle Aged,43,Graduation,Divorced,Upper Middle,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,1,11,2012,17,590,0
7,Young Adult,29,PhD,Married,Low Income,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,1,5,2013,8,169,0
8,Middle Aged,40,PhD,Together,Low Income,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,6,2013,5,46,0
9,Old Adult,64,PhD,Together,Low Income,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,2,3,2014,1,49,1
10,Young Adult,31,Graduation,Married,Upper Middle,51622.0947845805,11,5,5,6,0,2,1,1,1,0,2,7,0,1,11,2013,3,19,0
11,Young Adult,38,Basic,Married,Low Income,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,11,2012,5,61,0
12,Middle Aged,55,Graduation,Divorced,Upper Middle,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,11,2013,15,1102,0
13,Old Adult,62,Master,Divorced,Upper Middle,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,2,11,2013,12,310,0
14,Young Adult,27,Graduation,Married,Low Income,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,10,2012,4,46,0
15,Old Adult,68,PhD,Single,High Income,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,11,2012,25,1315,1
16,Young Adult,34,Graduation,Married,Lower Middle,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,2,12,2012,6,96,0
17,Old Adult,68,Graduation,Together,Lower Middle,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,8,2012,11,317,0
18,Old Adult,65,Master,Married,High Income,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,1,3,2013,24,1782,1
19,Young Adult,29,Master,Single,Low Income,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,1,11,2012,6,133,0
20,Young Adult,32,Graduation,Married,Lower Middle,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,8,2012,11,316,0
21,Young Adult,35,Graduation,Married,Low Income,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,1,1,2013,28,1730,0
22,Old Adult,65,PhD,Married,Upper Middle,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,12,2012,14,972,1
23,Old Adult,60,PhD,Married,Upper Middle,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,1,1,2014,17,544,0
24,Old Adult,63,Graduation,Together,Lower Middle,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,1,3,2013,13,444,0
25,Middle Aged,45,Graduation,Single,Low Income,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,1,2013,6,75,0
26,Young Adult,38,Graduation,Married,Upper Middle,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,2,5,2013,10,257,0
27,Young Adult,28,Graduation,Single,Upper Middle,51622.0947845805,19,5,1,3,3,263,362,0,27,0,0,1,0,1,2,2013,27,637,0
28,Young Adult,25,Graduation,Married,Lower Middle,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,1,5,2013,7,131,0
29,Middle Aged,49,PhD,Married,High Income,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,11,2013,25,1672,1
30,Young Adult,25,Master,Divorced,Low Income,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,5,2014,6,30,0
31,Middle Aged,51,Master,Together,Lower Middle,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,5,2013,10,318,0
32,Middle Aged,44,Graduation,Together,Lower Middle,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,10,2012,7,120,1
33,Old Adult,62,PhD,Divorced,Lower Middle,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,2,10,2012,11,302,0
34,Old Adult,68,Master,Married,High Income,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,2,2013,17,1196,0
35,Old Adult,63,Master,Single,Lower Middle,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,2,8,2013,5,65,0
36,Middle Aged,44,PhD,Married,Upper Middle,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,1,12,2013,23,913,0
37,Young Adult,38,Master,Married,Low Income,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,1,9,2013,6,81,0
38,Middle Aged,41,Graduation,Widow,Lower Middle,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,1,2,2014,5,67,0
39,Old Adult,71,PhD,Divorced,Lower Middle,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,2,2013,22,902,1
40,Young Adult,34,Graduation,Married,High Income,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,1,4,2013,19,1395,0
41,Young Adult,29,Master,Married,Low Income,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,1,3,2013,5,53,0
42,Middle Aged,57,Graduation,Together,Low Income,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,1,12,2012,3,22,0
43,Middle Aged,55,PhD,Single,Upper Middle,51622.0947845805,80,81,11,50,3,2,39,1,1,3,4,2,0,0,11,2013,8,186,0
